2025-04-07 00:28:22.608 | ID: 3 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 1
2025-04-07 00:28:22.612 | ID: 4 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 1
2025-04-07 00:28:22.612 | ID: 1 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 1
2025-04-07 00:28:22.827 | ID: 6 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 2
2025-04-07 00:28:22.834 | ID: 2 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 2
2025-04-07 00:28:22.835 | ID: 8 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 2
2025-04-07 00:28:23.046 | ID: 5 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 3
2025-04-07 00:28:23.046 | ID: 9 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 3
2025-04-07 00:28:23.046 | ID: 10 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 3
2025-04-07 00:28:23.262 | ID: 13 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 4
2025-04-07 00:28:23.262 | ID: 7 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 3 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 4
